case,test_id,theta1,theta2,label
Case4,Test_022,-19.0,-70.0,2
Case4,Test_023,-49.0,30.0,2
Case4,Test_024,59.0,-11.0,2
Case4,Test_025,-11.0,53.0,2
Case4,Test_026,-56.0,40.0,1
Case4,Test_027,62.0,-28.0,2
Case4,Test_028,-60.0,15.0,2
Case4,Test_029,-86.0,4.0,2
Case4,Test_030,-45.0,-21.0,2
Case4,Test_031,39.0,-42.0,1
Case4,Test_032,-68.0,32.0,2
Case4,Test_033,30.0,-72.0,2
Case4,Test_034,65.0,-56.0,1
Case4,Test_035,62.0,45.0,1
Case4,Test_036,-51.0,58.0,1
Case4,Test_037,82.0,-75.0,1
Case4,Test_038,-37.0,59.0,1
Case4,Test_039,-35.0,-29.0,2
Case4,Test_040,84.0,24.0,2
Case4,Test_041,12.0,88.0,2
Case4,Test_042,-80.0,36.0,2
Case4,Test_043,90.0,52.0,1
Case4,Test_044,-83.0,8.0,2
Case4,Test_045,77.0,-20.0,2
Case4,Test_046,56.0,-82.0,1
Case4,Test_047,-33.0,64.0,2
Case4,Test_048,-23.0,-2.0,3
Case4,Test_049,4.0,78.0,2
Case4,Test_050,-13.0,60.0,2
Case4,Test_051,-54.0,22.0,2
Case4,Test_052,14.0,-3.0,3
Case4,Test_053,-67.0,23.0,2
Case4,Test_054,-36.0,-80.0,2
Case4,Test_055,69.0,-62.0,1
Case4,Test_056,88.0,-61.0,1
Case4,Test_057,-85.0,56.0,1
Case4,Test_058,46.0,41.0,1
Case4,Test_059,34.0,-32.0,2
Case4,Test_060,11.0,-2.0,3
Case4,Test_061,19.0,-67.0,2
Case4,Test_062,-45.0,-80.0,1
Case4,Test_063,38.0,69.0,2
Case4,Test_064,-65.0,32.0,2
Case4,Test_065,-32.0,-36.0,2
Case4,Test_066,-17.0,82.0,2
Case4,Test_067,-61.0,78.0,1
Case4,Test_068,45.0,-66.0,1
Case4,Test_069,33.0,-41.0,2
Case4,Test_070,48.0,85.0,1
Case4,Test_071,82.0,86.0,1
Case4,Test_072,-21.0,38.0,2
Case4,Test_073,81.0,-73.0,1
Case4,Test_074,78.0,-23.0,2
Case4,Test_075,26.0,-58.0,2
Case4,Test_076,13.0,14.0,3
Case4,Test_077,-6.0,51.0,2
Case4,Test_078,73.0,-45.0,1
Case4,Test_079,0.0,1.0,3
Case4,Test_080,-42.0,-56.0,1
Case4,Test_081,-80.0,12.0,2
Case4,Test_082,23.0,-15.0,3
Case4,Test_083,9.0,25.0,3
Case4,Test_084,-58.0,-24.0,2
Case4,Test_085,-27.0,19.0,2
Case4,Test_086,-44.0,-26.0,2
Case4,Test_087,87.0,-65.0,1
Case4,Test_088,-9.0,-87.0,2
Case4,Test_089,2.0,55.0,2
Case4,Test_090,40.0,61.0,1
Case4,Test_091,50.0,-64.0,1
Case4,Test_092,-7.0,20.0,3
Case4,Test_093,85.0,-17.0,2
Case4,Test_094,18.0,-59.0,2
Case4,Test_095,-26.0,-51.0,2
Case4,Test_096,-86.0,26.0,2
Case4,Test_097,71.0,68.0,1
Case4,Test_098,-1.0,-33.0,3
Case4,Test_099,64.0,-58.0,1
Case4,Test_100,-77.0,-19.0,2
Case4,Test_101,-37.0,81.0,2
Case4,Test_102,-38.0,46.0,2
Case4,Test_103,-40.0,-10.0,2
Case4,Test_104,-31.0,10.0,2
Case4,Test_105,-65.0,-72.0,1
Case4,Test_106,-10.0,-49.0,2
Case4,Test_107,-53.0,-14.0,2
Case4,Test_108,-12.0,31.0,2
Case4,Test_109,44.0,-41.0,1
Case4,Test_110,-74.0,-31.0,2
Case4,Test_111,31.0,-77.0,2
Case4,Test_112,25.0,2.0,3
Case4,Test_113,57.0,13.0,2
Case4,Test_114,42.0,-63.0,2
Case4,Test_115,60.0,35.0,2
Case4,Test_116,29.0,-81.0,2
Case4,Test_117,54.0,80.0,1
Case4,Test_118,83.0,16.0,2
Case4,Test_119,3.0,27.0,3
Case4,Test_120,10.0,76.0,2
Case4,Test_121,-6.0,-20.0,3
Case4,Test_122,-76.0,-7.0,2
Case4,Test_123,-24.0,0.0,3
Case4,Test_124,86.0,43.0,1
Case4,Test_125,15.0,-39.0,2
Case4,Test_126,-78.0,64.0,1
Case4,Test_127,-22.0,-34.0,2
Case4,Test_128,67.0,-77.0,1
Case4,Test_129,53.0,17.0,2
Case4,Test_130,5.0,84.0,2
Case4,Test_131,-89.0,71.0,1
Case4,Test_132,51.0,58.0,1
Case4,Test_133,-72.0,-54.0,1
Case4,Test_134,-18.0,71.0,2
Case4,Test_135,75.0,-31.0,2
Case4,Test_136,-50.0,-9.0,2
Case4,Test_137,-19.0,70.0,2
Case4,Test_138,37.0,34.0,2
Case4,Test_139,48.0,-47.0,1
Case4,Test_140,-3.0,-6.0,3
Case4,Test_141,72.0,-18.0,2
Case4,Test_142,20.0,-1.0,3
Case4,Test_143,8.0,9.0,3
Case4,Test_144,27.0,-85.0,2
Case4,Test_145,-30.0,67.0,2
Case4,Test_146,-11.0,38.0,2
